League Name,Match Date,Home Team,Away Team,Score
LaLiga2,,Uni. Las Palmas,CD Leganés,2:1
LaLiga2,,,,
LaLiga2,Sat8/25/01,Gimnàstic,Racing,0:0
LaLiga2,,Poli Ejido,Burgos CF,0:1
LaLiga2,,Elche CF,Racing Ferrol,0:0
LaLiga2,,Atlético Madrid,Real Jaén CF,2:0
LaLiga2,Sun8/26/01,Real Oviedo,Extremadura,1:1
LaLiga2,,CD Numancia,UD Salamanca,2:2
LaLiga2,,CD Badajoz,Recr. Huelva,1:0
LaLiga2,,Xerez CD,Sporting Gijón,1:0
LaLiga2,,Córdoba CF,CD Leganés,1:1
LaLiga2,,Real Murcia,SD Eibar,0:0
LaLiga2,,Albacete,Levante,3:0
LaLiga2,,,,
LaLiga2,Sat9/1/01,Racing Ferrol,Real Murcia,2:0
LaLiga2,,SD Eibar,Atlético Madrid,0:3
LaLiga2,Sun9/2/01,CD Leganés,Elche CF,0:0
LaLiga2,,Sporting Gijón,CD Badajoz,3:0
LaLiga2,,Real Jaén CF,Poli Ejido,3:1
LaLiga2,,UD Salamanca,Albacete,2:0
LaLiga2,,Extremadura,Xerez CD,0:1
LaLiga2,,Racing,Real Oviedo,1:1
LaLiga2,,Burgos CF,Gimnàstic,1:0
LaLiga2,,Levante,Córdoba CF,3:1
LaLiga2,,Recr. Huelva,CD Numancia,1:0
LaLiga2,,,,
