League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,17.02.2002 13:30,GÜMÜŞHANE DOĞANSPOR,SİVASSPOR,0,0
Trendyol 1. Lig,17.02.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,HATAYSPOR,2,0
Trendyol 1. Lig,23.02.2002 12:00,A.SEBATSPOR,SAKARYASPOR A.Ş.,1,0
Trendyol 1. Lig,24.02.2002 12:00,ADANASPOR A.Ş.,ALTAY,6,1
Trendyol 1. Lig,24.02.2002 13:30,İZMİRSPOR,DARDANELSPOR A.Ş.,1,1
Trendyol 1. Lig,24.02.2002 13:30,BATMAN PETROLSPOR,B.B. ANKARASPOR,0,1
Trendyol 1. Lig,24.02.2002 13:30,ERZURUMSPOR,BÜYÜKŞEHİR BLD.SPOR,3,0
Trendyol 1. Lig,24.02.2002 13:30,HATAYSPOR,GÜMÜŞHANE DOĞANSPOR,2,1
Trendyol 1. Lig,24.02.2002 13:30,SİVASSPOR,ŞEKERSPOR,1,2
Trendyol 1. Lig,24.02.2002 13:30,SİİRT JETPA SPOR,ERCİYESSPOR,3,0
Trendyol 1. Lig,24.02.2002 13:30,KAYSERİSPOR,AYDINSPOR,5,1
Trendyol 1. Lig,24.02.2002 13:30,ELAZIĞSPOR,KOMBASSAN KONYASPOR,4,2
Trendyol 1. Lig,02.03.2002 12:00,ALTAY,SİVASSPOR,5,3
Trendyol 1. Lig,03.03.2002 12:00,KOMBASSAN KONYASPOR,BÜYÜKŞEHİR BLD.SPOR,3,1
Trendyol 1. Lig,03.03.2002 13:30,ELAZIĞSPOR,A.SEBATSPOR,1,1
Trendyol 1. Lig,03.03.2002 13:30,SAKARYASPOR A.Ş.,B.B. ANKARASPOR,1,0
Trendyol 1. Lig,03.03.2002 13:30,BATMAN PETROLSPOR,İZMİRSPOR,4,5
Trendyol 1. Lig,03.03.2002 13:30,DARDANELSPOR A.Ş.,KAYSERİSPOR,1,2
Trendyol 1. Lig,03.03.2002 13:30,AYDINSPOR,SİİRT JETPA SPOR,1,1
Trendyol 1. Lig,03.03.2002 13:30,ERCİYESSPOR,ADANASPOR A.Ş.,0,0
Trendyol 1. Lig,03.03.2002 13:30,ŞEKERSPOR,HATAYSPOR,2,1
Trendyol 1. Lig,03.03.2002 13:30,GÜMÜŞHANE DOĞANSPOR,ERZURUMSPOR,3,1
Trendyol 1. Lig,09.03.2002 12:00,B.B. ANKARASPOR,ELAZIĞSPOR,0,0
Trendyol 1. Lig,09.03.2002 13:30,İZMİRSPOR,SAKARYASPOR A.Ş.,1,0
Trendyol 1. Lig,10.03.2002 12:00,A.SEBATSPOR,KOMBASSAN KONYASPOR,0,0
