League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol Süper Lig,17.03.2001 14:00,İSTANBULSPOR A.Ş.,BURSASPOR,2,4
Trendyol Süper Lig,17.03.2001 19:00,ÇAYKUR RİZESPOR,FENERBAHÇE,1,1
Trendyol Süper Lig,18.03.2001 14:00,YİMPAŞ YOZGATSPOR,GAZİANTEPSPOR,1,2
Trendyol Süper Lig,18.03.2001 14:00,DENİZLİSPOR,ADANASPOR A.Ş.,4,2
Trendyol Süper Lig,18.03.2001 17:00,SİİRT JETPA SPOR,GALATASARAY,0,1
Trendyol Süper Lig,18.03.2001 19:00,BEŞİKTAŞ,TRABZONSPOR,3,1
Trendyol Süper Lig,30.03.2001 20:00,KOCAELİSPOR,DENİZLİSPOR,4,2
Trendyol Süper Lig,31.03.2001 15:00,BURSASPOR,GENÇLERBİRLİĞİ,2,0
Trendyol Süper Lig,31.03.2001 15:00,ERZURUMSPOR,SİİRT JETPA SPOR,2,1
Trendyol Süper Lig,31.03.2001 15:00,MKE ANKARAGÜCÜ,ÇAYKUR RİZESPOR,4,0
Trendyol Süper Lig,31.03.2001 19:00,GALATASARAY,BEŞİKTAŞ,2,0
Trendyol Süper Lig,01.04.2001 15:00,TRABZONSPOR,YİMPAŞ YOZGATSPOR,1,1
Trendyol Süper Lig,01.04.2001 15:00,SAMSUNSPOR,İSTANBULSPOR A.Ş.,2,3
Trendyol Süper Lig,01.04.2001 15:00,GAZİANTEPSPOR,ANTALYASPOR A.Ş.,2,0
Trendyol Süper Lig,01.04.2001 19:00,FENERBAHÇE,ADANASPOR A.Ş.,4,0
Trendyol Süper Lig,06.04.2001 20:00,ÇAYKUR RİZESPOR,GAZİANTEPSPOR,2,1
Trendyol Süper Lig,07.04.2001 15:00,ANTALYASPOR A.Ş.,TRABZONSPOR,2,3
Trendyol Süper Lig,07.04.2001 15:00,ADANASPOR A.Ş.,MKE ANKARAGÜCÜ,1,3
Trendyol Süper Lig,07.04.2001 15:00,GENÇLERBİRLİĞİ,SAMSUNSPOR,1,0
Trendyol Süper Lig,07.04.2001 19:00,DENİZLİSPOR,FENERBAHÇE,2,1
Trendyol Süper Lig,08.04.2001 15:00,SİİRT JETPA SPOR,BURSASPOR,2,5
Trendyol Süper Lig,08.04.2001 15:00,YİMPAŞ YOZGATSPOR,GALATASARAY,4,2
Trendyol Süper Lig,08.04.2001 15:00,İSTANBULSPOR A.Ş.,KOCAELİSPOR,1,1
Trendyol Süper Lig,08.04.2001 19:00,BEŞİKTAŞ,ERZURUMSPOR,2,0
Trendyol Süper Lig,13.04.2001 20:00,BURSASPOR,BEŞİKTAŞ,0,1
Trendyol Süper Lig,14.04.2001 15:00,İSTANBULSPOR A.Ş.,DENİZLİSPOR,1,3
Trendyol Süper Lig,14.04.2001 15:00,SAMSUNSPOR,SİİRT JETPA SPOR,4,3
Trendyol Süper Lig,14.04.2001 19:00,GALATASARAY,ANTALYASPOR A.Ş.,2,0
Trendyol Süper Lig,15.04.2001 15:00,GAZİANTEPSPOR,ADANASPOR A.Ş.,3,0
Trendyol Süper Lig,15.04.2001 15:00,TRABZONSPOR,ÇAYKUR RİZESPOR,2,0
Trendyol Süper Lig,15.04.2001 15:00,KOCAELİSPOR,GENÇLERBİRLİĞİ,4,1
Trendyol Süper Lig,15.04.2001 15:00,ERZURUMSPOR,YİMPAŞ YOZGATSPOR,1,2
Trendyol Süper Lig,15.04.2001 19:00,MKE ANKARAGÜCÜ,FENERBAHÇE,2,1
Trendyol Süper Lig,20.04.2001 20:00,BEŞİKTAŞ,SAMSUNSPOR,0,0
Trendyol Süper Lig,21.04.2001 15:00,ADANASPOR A.Ş.,TRABZONSPOR,1,7
Trendyol Süper Lig,21.04.2001 15:00,DENİZLİSPOR,MKE ANKARAGÜCÜ,2,0
Trendyol Süper Lig,21.04.2001 19:00,FENERBAHÇE,GAZİANTEPSPOR,4,3
Trendyol Süper Lig,22.04.2001 15:00,SİİRT JETPA SPOR,KOCAELİSPOR,4,3
Trendyol Süper Lig,22.04.2001 15:00,YİMPAŞ YOZGATSPOR,BURSASPOR,1,0
